"bacterium JKG1"
"Bacteroidales bacterium ph8"
"Bacteroides acidifaciens"
"Bacteroides barnesiae"
"Bacteroides caccae"
"Bacteroides cellulosilyticus"
"Bacteroides clarus"
"Bacteroides coprosuis"
"Bacteroides dorei"
"Bacteroides eggerthii"
"Bacteroides faecichinchillae"
"Bacteroides faecis"
"Bacteroides finegoldii"
"Bacteroides fluxus"
"Bacteroides fragilis"
"Bacteroides gallinarum"
"Bacteroides graminisolvens"
"Bacteroides helcogenes"
"Bacteroides massiliensis"
"Bacteroides nordii"
"Bacteroides oleiciplenus"
"Bacteroides ovatus"
"Bacteroides paurosaccharolyticus"
"Bacteroides propionicifaciens"
"Bacteroides pyogenes"
"Bacteroides rodentium"
"Bacteroides salanitronis"
"Bacteroides salyersiae"
"Bacteroides sartorii"
"Bacteroides sp. 1_1_14"
"Bacteroides sp. 1_1_30"
"Bacteroides sp. 1_1_6"
"Bacteroides sp. 14(A)"
"Bacteroides sp. 2_1_16"
"Bacteroides sp. 2_1_22"
"Bacteroides sp. 2_1_33B"
"Bacteroides sp. 2_1_56FAA"
"Bacteroides sp. 2_2_4"
"Bacteroides sp. 3_1_19"
"Bacteroides sp. 3_1_23"
"Bacteroides sp. 3_1_33FAA"
"Bacteroides sp. 3_1_40A"
"Bacteroides sp. 3_2_5"
"Bacteroides sp. 4_1_36"
"Bacteroides sp. 4_3_47FAA"
"Bacteroides sp. 9_1_42FAA"
"Bacteroides sp. AR20"
"Bacteroides sp. D1"
"Bacteroides sp. D2"
"Bacteroides sp. D20"
"Bacteroides sp. D22"
"Bacteroides sp. Ga6A1"
"Bacteroides sp. Ga6A2"
"Bacteroides sp. HPS0048"
"Bacteroides sp. VE202-11"
"Bacteroides stercorirosoris"
"Bacteroides stercoris"
"Bacteroides thetaiotaomicron"
"Bacteroides uniformis"
"Bacteroides vulgatus"
"Bacteroides xylanisolvens"
"Bacteroidetes bacterium oral taxon 272"
"Bacteroidetes oral taxon 274"
"Balneatrix alpica"
"Balneola vulgaris"
"Bankia setacea"
"Bankia setacea gill symbiont"
"Barnesiella intestinihominis"
"Barnesiella viscericola"
"Bartonella alsatica"
"Bartonella australis"
"Bartonella bacilliformis"
"Bartonella birtlesii"
"Bartonella bovis"
"Bartonella clarridgeiae"
"Bartonella doshiae"
"Bartonella elizabethae"
"Bartonella grahamii"
"Bartonella henselae"
"Bartonella koehlerae"
"Bartonella melophagi"
"Bartonella quintana"
"Bartonella rattaustraliani"
"Bartonella rattimassiliensis"
"Bartonella rochalimae"
"Bartonella schoenbuchensis"
"Bartonella senegalensis"
"Bartonella sp. DB5-6"
"Bartonella sp. R4(2010)"
"Bartonella tamiae"
"Bartonella taylorii"
"Bartonella tribocorum"
"Bartonella vinsonii"
"Bartonella washoensis"
"Basfia succiniciproducens"
"Basilea psittacipulmonis"
"Bauldia litoralis"
"Bavariicoccus seileri"
"Bdellovibrio bacteriovorus"
"Bdellovibrio exovorus"
"Beggiatoa alba"
"Beggiatoa sp. 'Orange Guaymas'"
"Beijerinckia mobilis"
"Belliella baltica"
"Bergeyella zoohelcum"
"beta proteobacterium CB"
"beta proteobacterium FWI2"
"beta proteobacterium L13"
"Betaproteobacteria bacterium MOLA814"
"Bhargavaea cecembensis"
"Bibersteinia trehalosi"
"Bifidobacterium actinocoloniiforme"
